file_name,text
22CBKFhZtnZ54kdUkj8Vr9_22CBKFhZtnZ54kdUkj8Vr9-001.png,"1girl, solo, animal ears, hat, santa hat, long hair, purple eyes, animal ear fluff, bare shoulders, red headwear, looking at viewer, jewelry, christmas, dress, long sleeves, white hair, fur trim, bracelet, off shoulder, belt, red dress, closed mouth, hand up, hair between eyes, black belt, wide sleeves, blush, fur-trimmed headwear, cat ears, off-shoulder dress, santa costume, fur-trimmed dress, bell, bow, fur-trimmed sleeves, blurry, buttons, blurry background, upper body, belt buckle, bangle"
22CBKFhZtnZ54kdUkj8Vr9_22CBKFhZtnZ54kdUkj8Vr9-002.png,"1girl, solo, santa hat, animal ears, hat, purple eyes, bracelet, animal ear fluff, long hair, jewelry, looking at viewer, bare shoulders, off shoulder, parted lips, plaid, blush, plaid skirt, christmas, off-shoulder dress, red headwear, dress, red dress, cat ears, hands up, white hair, skirt, choker, bangle, simple background, off-shoulder shirt, white background, pom pom \(clothes\), black choker, fur-trimmed headwear, bell, fur trim, hair between eyes, hands on own face, grey hair, leaning forward, short sleeves"
22ZCm4rkfnmqWRxoemi9fx_22ZCm4rkfnmqWRxoemi9fx-001.png,"bicycle, animal ears, dress, white dress, short sleeves, gloves, outdoors, long hair, 2girls, cat ears, multiple girls, white footwear, blonde hair, solo focus, riding, white gloves, riding bicycle, boots, puffy short sleeves, puffy sleeves, green eyes, bag, animal hands, day, bicycle basket, road, paw gloves, animal ear fluff, :o, tree, blush, signature, full body"
22ZCm4rkfnmqWRxoemi9fx_22ZCm4rkfnmqWRxoemi9fx-002.png,"bicycle, animal ears, dress, white dress, long hair, blonde hair, lamppost, animal hands, outdoors, paw gloves, short sleeves, cat ears, multiple girls, gloves, solo focus, 2girls, looking at viewer, tree, bell, standing, blush, day, signature, riding, full body, socks, puffy short sleeves, riding bicycle, earrings, paw shoes, puffy sleeves, reflection, white gloves, cat paws, blue eyes"
22ZCm4rkfnmqWRxoemi9fx_22ZCm4rkfnmqWRxoemi9fx-003.png,"1girl, animal ears, solo, white dress, dress, blonde hair, outdoors, long hair, bicycle, cat ears, short sleeves, white footwear, gloves, looking at viewer, boots, white gloves, full body, puffy sleeves, puffy short sleeves, signature, standing, day, tree, blush, animal hands, green eyes, animal ear fluff, paw gloves, fur trim, standing on one leg"
22ZCm4rkfnmqWRxoemi9fx_22ZCm4rkfnmqWRxoemi9fx-004.png,"animal ears, bicycle, white dress, dress, blonde hair, outdoors, long hair, animal hands, multiple girls, short sleeves, gloves, cat ears, solo focus, tree, white footwear, riding bicycle, paw gloves, boots, day, signature, green eyes, collarbone, puffy short sleeves, riding, blush, puffy sleeves, animal ear fluff, full body, white gloves, ribbon, 3girls, bicycle basket, 2girls, green ribbon"
22cfPS6Bn9XoDWiKWdaQD4_22cfPS6Bn9XoDWiKWdaQD4-001.png,"1girl, solo, black hair, hood, skirt, black hoodie, blue eyes, smile, hair ornament, ahoge, hoodie, socks, loose socks, shoes, hairclip, plaid skirt, long sleeves, looking at viewer, plaid, black footwear, hood down, closed mouth, white socks, pleated skirt, full body, standing, blue skirt, puffy long sleeves, puffy sleeves, short hair, hair between eyes, miniskirt, multicolored hair, sneakers, drawstring, blush"
22cfPS6Bn9XoDWiKWdaQD4_22cfPS6Bn9XoDWiKWdaQD4-002.png,"1girl, solo, blue eyes, hood, black hair, hair ornament, smile, full body, hoodie, hairclip, socks, ahoge, white socks, black hoodie, black footwear, long sleeves, simple background, loose socks, looking at viewer, shoes, short hair, closed mouth, hood down, blush, standing, shorts, puffy long sleeves, grey background, sleeves past wrists, drawstring, puffy sleeves"
22cfPS6Bn9XoDWiKWdaQD4_22cfPS6Bn9XoDWiKWdaQD4-003.png,"1girl, black hair, blue eyes, hood, smile, hair ornament, solo, hood down, ahoge, black hoodie, socks, hoodie, white socks, long sleeves, looking at viewer, black footwear, drawstring, shoes, closed mouth, hairclip, loose socks, blush, sitting, knee up, arm up, white background, puffy long sleeves, hair between eyes, puffy sleeves, arm behind head, short hair"
22cfPS6Bn9XoDWiKWdaQD4_22cfPS6Bn9XoDWiKWdaQD4-004.png,"1girl, blue eyes, solo, smile, hood, hair ornament, black hair, hairclip, hoodie, ahoge, black hoodie, looking at viewer, long sleeves, blush, upper body, closed mouth, arm up, drawstring, hood down, outdoors, day, sky, short hair, sleeves past wrists, blue sky, clothes writing, puffy long sleeves"
233af7BVxZh9pqvtDyW5sR_233af7BVxZh9pqvtDyW5sR-001.png,"1girl, solo, beach, barefoot, realistic, crown, dress, black hair, photorealistic, walking, outdoors, water, bag, smile, ocean, day, long hair, sand, bare shoulders, full body"
23PGE2JTpacQvPWAEjMb55_23PGE2JTpacQvPWAEjMb55-001.png,"1girl, solo, heterochromia, red eyes, blue eyes, red hair, bicycle, skirt, jacket, shirt, short hair, white footwear, shoes, white shirt, outdoors, white jacket, full body, open clothes, looking at viewer, black skirt, open jacket, long sleeves, sneakers, socks, closed mouth, breasts, hand up, waving, building, jewelry, standing, pencil skirt, high-waist skirt, city, earrings, black socks"
23PGE2JTpacQvPWAEjMb55_23PGE2JTpacQvPWAEjMb55-002.png,"1girl, heterochromia, solo, skirt, red hair, blue eyes, shirt, short hair, red eyes, white shirt, looking at viewer, bicycle, outdoors, black skirt, coat, choker, black choker, white coat, pencil skirt, open clothes, breasts, long sleeves, jewelry, building, blush, open coat, day, waving, feet out of frame, thighs, medium breasts, standing, closed mouth, high-waist skirt, miniskirt"
